Country.Name,Country Code,cown,Indicator Name,Indicator Code,year,realgdpgr
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1962,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1963,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1964,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1965,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1966,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1967,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1968,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1969,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1970,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1971,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1972,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1973,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1974,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1978,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1979,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1980,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1981,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1982,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1983,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1984,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1985,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1986,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1987,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1988,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1989,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1990,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1991,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1992,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1993,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1994,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,NA
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,8.444163227
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2004,1.055555787
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2005,11.17527024
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2006,5.554137623
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2007,13.74020499
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2008,3.611368392
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2009,21.02064874
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2010,8.433290482
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2011,6.113685169
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2012,14.43474129
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,3.900574873
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.690521952
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,1.310040392
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,2.366711931
Afghanistan,AFG,700,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1962,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1963,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1964,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1965,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1966,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1967,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1968,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1969,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1970,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1971,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1972,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1973,NA
Albania,ALB,339,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1974,NA
